StockCode,ARTpop,ARTcost
10002,0.6496455496711232,-1.5228722694288712
10080,0.06808874747319608,-2.9592018015477155
10120,-0.7435952616736479,-4.866220015952106
10125,0.8937243754794407,-1.8747090111318614
10133,2.3417334801321994,-2.262543549917745
10135,2.139574863662183,-0.8409326618836983
11001,2.3799631036517557,0.5314544708423216
15030,-0.5242480903876582,-4.070751046010962
15034,3.744994621527931,-4.941988148660208
15036,5.237088799666266,-0.6624327350160746
15039,2.4171414597795717,-1.372099859290574
16008,2.329338416847691,-5.0190592254252175
16010,-3.073745715158634,-6.207914996725345
16011,1.9921786587310621,-4.109706389052831
16012,1.4034043202662128,-4.257240797810301
16014,5.169517656294627,-1.9822419459938414
16015,1.5645928541089353,-2.5865808862110446
16016,1.9047741309394992,-1.2824699732254643
16033,1.0346570792832357,-4.513218996870503
16043,-1.4126925424620738,-5.455502125004194
16045,2.8234378618890665,-5.963095625055941
16046,-1.3821312396618908,-2.042907547378329
16048,1.396408873637869,-4.8649871086312
16049,0.16334426496661647,-3.912469474041566
16052,0.640257075532085,-3.5961074100539134
16054,1.091918274549632,-4.834551839961546
16216,3.2932696722899775,-5.401401621750475
16218,2.3725057897035744,-5.840728777369569
16219,3.1231567604124266,-5.339477261179763
16225,1.5153601155266594,-1.236641647805004
16235,2.7493104572323275,-3.8066867725574736
16236,1.3369252772960247,-4.475681714531702
16237,2.838995272293925,-4.13338875398867
16238,1.2291793440469834,-4.195992650009914
16254,-2.343987229758002,-1.9607161312922143
16259,2.4282081501923716,-5.227555201963
17001,-1.6317359582499278,-3.418896883702441
17003,4.97642627340098,-2.6170135362581814
17021,2.7637806444510935,-3.31835223862336
17038,1.7442484064480888,-5.842642009713494
17096,3.1578520465812794,-3.5886153693245246
17174,-4.837470052620372,-4.381504684719607
18007,3.9408576351750813,-4.734012611225484
20615,-0.4774143809303978,-1.1709213384320314
20616,-0.48117483694719515,-1.244918156905729
20617,-2.0000174497289183,-0.09082557152946631
20618,-1.480722836238922,-0.27335170551011767
20619,-0.657247753031224,-0.3141511012049798
20622,-0.3769662454256504,-0.541050994708797
20652,-1.5434583433756333,-0.9701324936149577
20653,-2.544850407829407,-1.123107146243374
20654,-1.597211601205906,-1.403281795185884
